id	date	component	pices	invoiceno	addpdf	heat_no	target1	total_produced	remaining	batch_number	verified_by
52	2024-12-04	8610	250	1471	reports/ssb_SupplyOutward-2024-25-1471.pdf	51261 BY	0	0	0	NA	Shivam Sharma
51	2024-12-04	5621-0000G	151	1470	reports/ssb_SupplyOutward-2024-25-1470.pdf	51012 ZC	0	0	0	na	Shivam Sharma
50	2024-12-04	8912-0000G	300	1469	reports/ssb_SupplyOutward-2024-25-1469.pdf	A31872	0	0	0	na	Shivam Sharma
49	2024-11-29	F1624311	146	1425	reports/ssb_SupplyOutward-2024-25-1425_8hV4ETA.pdf	A30268 GV	0	0	0	NA	Shivam Sharma
48	2024-11-29	NA	141	1424	reports/ssb_SupplyOutward-2024-25-1424_CpAmHP3.pdf	A26357 GS	0	0	0	NA	Shivam Sharma
47	2024-11-29	NA	435	1423	reports/ssb_SupplyOutward-2024-25-1423_UCfOXj4.pdf	A30268 GV	0	0	0	NA	Shivam Sharma
46	2024-11-26	A4002620523-B	109	1422	reports/ssb_SupplyOutward-2024-25-1422_cWztBFq.pdf	a29315	280	288	-8	PP-20241112-DA-01	Shivam Sharma
45	2024-11-26	5171194IND	56	56	reports/ssb_SupplyOutward-2024-25-1420_wuH6opt.pdf	50508	800	806	-6	PP-20241114-DA-03	Shivam Sharma
44	2024-11-26	47132781IND	280	1420	reports/ssb_SupplyOutward-2024-25-1420_EkZwT5U.pdf	50508	5000	5000	0	PP-20241108-DA-06	Shivam Sharma
43	2024-11-26	5171194IND	368	1420	reports/ssb_SupplyOutward-2024-25-1420.pdf	50508	800	806	-6	PP-20241114-DA-03	Shivam Sharma
42	2024-11-26	47132781IND	480	1419	reports/ssb_SupplyOutward-2024-25-1419_W7Ym2uX.pdf	50508	5000	5000	0	PP-20241108-DA-06	Shivam Sharma
41	2024-11-26	47455131IND	708	1419	reports/ssb_SupplyOutward-2024-25-1419_9kt8TqB.pdf	M833852 GZ	0	0	0	na	Shivam Sharma
40	2024-11-26	47136593IND	679	1419	reports/ssb_SupplyOutward-2024-25-1419.pdf	48719	2100	2272	-172	PP-20241027-DA-01	Shivam Sharma
39	2024-11-23	8913	101	1428	reports/ssb_SupplyOutward-2024-25-1428.pdf	a32083	320	415	-95	PP-20241114-HI-01	 
38	2024-11-23	8912-0000G	420	1427	reports/ssb_SupplyOutward-2024-25-1427.pdf	a31872	1500	1568	-68	PP-20241019-HI-02	 
37	2024-11-23	F1624311	146	1425	reports/ssb_SupplyOutward-2024-25-1425.pdf	A30268 GD	0	0	0	NA	 
36	2024-11-23	FG300111	141	1424	reports/ssb_SupplyOutward-2024-25-1424.pdf	46357 GS	0	0	0	NA	 
35	2024-11-23	53976	435	1423	reports/ssb_SupplyOutward-2024-25-1423.pdf	A30268 GA	0	0	0	NA	 
34	2024-11-23	A4002620523-B	109	1422	reports/ssb_SupplyOutward-2024-25-1422.pdf	a29315	280	288	-8	PP-20241112-DA-01	 
33	2024-11-23	8913	200	1415	reports/ssb_SupplyOutward-2024-25-1415.pdf	a32083	320	415	-95	PP-20241114-HI-01	 
32	2024-11-23	4475.480.079	150	0024	reports/ssb_SupplyOutward-SSB-2024-25-0024.pdf	k195974	200	250	-50	PP-20241029-ZF-01	 
31	2024-11-23	1304.333.011	146	1414	reports/ssb_SupplyOutward-2024-25-1414.pdf	48411 GL	0	0	0	NA	 
30	2024-11-23	12512	655	1413	reports/ssb_SupplyOutward-2024-25-1413.pdf	A54060 GS	0	0	0	NA	 
29	2024-11-23	F1622511	696	1412	reports/ssb_SupplyOutward-2024-25-1412.pdf	50030 GM	0	0	0	NA	 
28	2024-11-23	F1624311	584	1400	reports/ssb_SupplyOutward-2024-25-1400.pdf	A300268 GD	0	0	0	NA	 
27	2024-11-23	A4002621034	100	1399	reports/ssb_SupplyOutward-2024-25-1399.pdf	50090 GA	0	0	0	NA	 
26	2024-11-23	A4002620523-A	239	1398	reports/ssb_SupplyOutward-2024-25-1398.pdf	50090 GA	0	0	0	NA	 
25	2024-11-23	A4002620934	250	1397	reports/ssb_SupplyOutward-2024-25-1397.pdf	50090 GA	0	0	0	NA	 
24	2024-11-23	A4002620523-B	100	1396	reports/ssb_SupplyOutward-2024-25-1396.pdf	50090 GA	0	0	0	NA	 
23	2024-11-23	A4002624367	228	1395	reports/ssb_SupplyOutward-2024-25-1395.pdf	48915	0	0	0	NA	 
22	2024-11-18	8912-0000G	720	1391		a31872	1500	1568	-68	PP-20241019-HI-02	Shivam Sharma
21	2024-11-19	10169794	3792	1394	reports/ssb_SupplyOutward-2024-25-1394.pdf	49984	4000	6	3994	PP-20241009-DA-03	Shivam Sharma
20	2024-11-19	10155821	1909	1393	reports/ssb_SupplyOutward-2024-25-1393.pdf	50169	2100	1970	130	PP-20241026-DA-02	Shivam Sharma
18	2024-11-18	4105-0000G	1008	1392	reports/ssb_SupplyOutward-2024-25-1392.pdf	c83885	1700	2649	-949	PP-20241018-HI-03	Shivam Sharma
